username,created_at,likes,comments,shares,views,engagement_rate,post_date,posts_per_day,views_per_video,likes_per_video,comments_per_video,hour,weekday
meowwx109,2025-11-11 14:05:56+00:00,93300,533,1214,427400,0.2223841834347215,2025-11-11,1,427400.0,93300.0,533.0,14,Tuesday
ksuzzz3,2025-11-21 16:26:21+00:00,112800,667,2326,1000000,0.115793,2025-11-21,1,1000000.0,112800.0,667.0,16,Friday
..vlogswolivia,2025-12-04 03:07:53+00:00,6932,146,105,56200,0.1278113879003558,2025-12-04,1,56200.0,6932.0,146.0,3,Thursday
migne_00,2023-01-23 00:03:15+00:00,248,6,8,8379,0.0312686478100011,2023-01-23,1,8379.0,248.0,6.0,0,Monday
vennom.xx,2022-08-26 19:40:18+00:00,100,5,0,13700,0.0076642335766423,2022-08-26,1,13700.0,100.0,5.0,19,Friday
migne_00,2022-08-21 21:31:42+00:00,1057,11,10,39900,0.0270175438596491,2022-08-21,1,39900.0,1057.0,11.0,21,Sunday
wthisamegan,2022-08-08 01:38:19+00:00,71,1,2,13800,0.0053623188405797,2022-08-08,1,13800.0,71.0,1.0,1,Monday
migne_00,2022-12-29 03:05:32+00:00,337,12,6,16700,0.0212574850299401,2022-12-29,1,16700.0,337.0,12.0,3,Thursday
yesimgeni,2023-09-29 18:27:53+00:00,182800,663,2640,712000,0.2613806179775281,2023-09-29,1,712000.0,182800.0,663.0,18,Friday
__catwoman00__,2025-12-26 22:26:20+00:00,146,7,2,1322,0.1172465960665658,2025-12-26,1,1322.0,146.0,7.0,22,Friday
myrisa_jaymes,2025-12-26 23:00:50+00:00,28,0,2,771,0.0389105058365758,2025-12-26,1,771.0,28.0,0.0,23,Friday
migne_00,2022-08-13 04:43:21+00:00,351,5,10,16000,0.022875,2022-08-13,1,16000.0,351.0,5.0,4,Saturday
dishadaybysumyat,2025-03-16 13:50:06+00:00,15100,209,849,622400,0.025960796915167,2025-03-16,1,622400.0,15100.0,209.0,13,Sunday
review_all_vd,2025-12-13 17:17:14+00:00,1452,75,367,500900,0.003781193851068,2025-12-13,1,500900.0,1452.0,75.0,17,Saturday
dear.visit,2025-04-10 11:34:37+00:00,20500,62,634,177600,0.1193468468468468,2025-04-10,1,177600.0,20500.0,62.0,11,Thursday
moimagcf41u,2025-11-23 10:36:02+00:00,1046,10,34,257500,0.0042330097087378,2025-11-23,1,257500.0,1046.0,10.0,10,Sunday
moimagcf41u,2025-11-28 12:12:42+00:00,1372,23,39,154200,0.0092996108949416,2025-11-28,1,154200.0,1372.0,23.0,12,Friday
nana_.00w,2025-01-03 04:11:21+00:00,43900,447,2444,1000000,0.046791,2025-01-03,1,1000000.0,43900.0,447.0,4,Friday
akirayamiku,2025-05-28 12:57:11+00:00,2046,18,267,70800,0.0329237288135593,2025-05-28,1,70800.0,2046.0,18.0,12,Wednesday
sxp.routines_,2025-08-23 05:49:11+00:00,18600,352,328,217000,0.0888479262672811,2025-08-23,1,217000.0,18600.0,352.0,5,Saturday
pam.00w,2024-07-30 09:38:40+00:00,35700,640,631,1300000,0.0284392307692307,2024-07-30,1,1300000.0,35700.0,640.0,9,Tuesday
xpwuddingvlogsx,2025-12-17 23:00:31+00:00,6881,613,282,315000,0.0246857142857142,2025-12-17,1,315000.0,6881.0,613.0,23,Wednesday
iamdiepha._,2023-07-14 05:50:52+00:00,25300,363,2288,1300000,0.0215007692307692,2023-07-14,1,1300000.0,25300.0,363.0,5,Friday
